gene	sample_1	sample_2	status	value_1	value_2	significant
AT1G09770	WT	hy5	NOTEST	3.07815	9.98864	no
AT1G09780	WT	hy5	OK	51.8078	43.261	no
AT1G09790	WT	hy5	NOTEST	0	0	no
AT1G09794	WT	hy5	NOTEST	0	2.05539	no
AT1G09795	WT	hy5	OK	26.7014	19.4064	no
AT1G09800	WT	hy5	NOTEST	1.5112	0.452198	no
AT1G09810	WT	hy5	NOTEST	0	0.68387	no
AT1G09812	WT	hy5	NOTEST	0	5.65884	no
AT1G09815	WT	hy5	OK	17.8278	4.87925	no
AT1G09820	WT	hy5	NOTEST	1.12685	0.27938	no
AT1G09830	WT	hy5	NOTEST	4.77045	6.13871	no
AT1G09840	WT	hy5	NOTEST	2.39594	3.42421	no
AT1G09850	WT	hy5	NOTEST	2.56885	1.74904	no
AT1G09860	WT	hy5	NOTEST	0	0.492674	no
AT1G09870	WT	hy5	NOTEST	3.73778	2.01616	no
AT1G09880	WT	hy5	NOTEST	0	0	no
AT1G09890	WT	hy5	NOTEST	0	0	no
AT1G09900	WT	hy5	NOTEST	2.33833	1.55988	no
AT1G09910	WT	hy5	NOTEST	1.56024	1.16349	no
AT1G09920	WT	hy5	NOTEST	9.87958	7.121	no
AT1G09930	WT	hy5	NOTEST	0	0	no
AT1G09932	WT	hy5	NOTEST	0	1.06341	no
AT1G09935	WT	hy5	NOTEST	0	0	no
AT1G09940	WT	hy5	NOTEST	2.92718	3.32084	no
AT1G09950	WT	hy5	NOTEST	0	0	no
AT1G09960	WT	hy5	NOTEST	1.87888	1.20325	no
AT1G09970	WT	hy5	OK	11.8031	17.69	yes
AT1G09980	WT	hy5	NOTEST	1.00616	0.939993	no
AT1G09995	WT	hy5	NOTEST	3.89003	4.41132	no
AT1G10000	WT	hy5	NOTEST	0.838039	0	no
AT1G10010	WT	hy5	NOTEST	0	0	no
AT1G10020	WT	hy5	NOTEST	6.24247	4.27232	no
AT1G10030	WT	hy5	OK	23.177	13.0431	no
AT1G10040	WT	hy5	NOTEST	0	2.15593	no
AT1G10050	WT	hy5	NOTEST	0.531156	1.05881	no
AT1G10060	WT	hy5	NOTEST	5.4699	3.55131	no
AT1G10070	WT	hy5	NOTEST	0.289612	0.823226	no
AT1G10090	WT	hy5	NOTEST	1.88294	1.98099	no
AT1G10095	WT	hy5	NOTEST	0	2.14403	no
AT1G10100	WT	hy5	NOTEST	0	0	no
AT1G10110	WT	hy5	NOTEST	0	0	no
AT1G10120	WT	hy5	NOTEST	1.26997	2.0798	no
AT1G10130	WT	hy5	NOTEST	1.40429	4.48881	no
AT1G10140	WT	hy5	OK	19.3457	9.92051	no
AT1G10150	WT	hy5	NOTEST	5.75527	5.68436	no
AT1G10155	WT	hy5	NOTEST	0	0	no
AT1G10160	WT	hy5	NOTEST	0	0.169825	no
AT1G10170	WT	hy5	NOTEST	2.56623	4.3387	no
AT1G10180	WT	hy5	NOTEST	1.45738	5.32946	no
AT1G10190	WT	hy5	NOTEST	0	0	no
AT1G10200	WT	hy5	OK	25.3355	12.7211	no
AT1G10210	WT	hy5	NOTEST	0	1.25301	no
AT1G10220	WT	hy5	NOTEST	0	0	no
AT1G10230	WT	hy5	NOTEST	2.38452	3.8683	no
AT1G10240	WT	hy5	NOTEST	0.696027	0	no
AT1G10250	WT	hy5	NOTEST	0	0	no
AT1G10260	WT	hy5	NOTEST	0	0	no
AT1G10270	WT	hy5	NOTEST	2.00188	1.33944	no
AT1G10280	WT	hy5	NOTEST	1.27791	0	no
AT1G10290	WT	hy5	NOTEST	2.14236	7.11001	no
AT1G10300	WT	hy5	NOTEST	0	0	no
AT1G10310	WT	hy5	NOTEST	4.15656	2.01352	no
AT1G10320	WT	hy5	NOTEST	0	4.11702	no
AT1G10330	WT	hy5	NOTEST	0	0	no
AT1G10340	WT	hy5	NOTEST	0	0	no
AT1G10350	WT	hy5	NOTEST	1.93431	1.526	no
AT1G10360	WT	hy5	NOTEST	4.48643	11.0249	no
AT1G10370	WT	hy5	NOTEST	12.5643	2.38992	no
AT1G10380	WT	hy5	NOTEST	3.17306	4.56186	no
AT1G10385	WT	hy5	NOTEST	0.469512	0.324528	no
AT1G10390	WT	hy5	NOTEST	1.59642	4.07367	no
AT1G10400	WT	hy5	NOTEST	0	0	no
AT1G10410	WT	hy5	NOTEST	6.85442	4.82732	no
AT1G10417	WT	hy5	NOTEST	0	0	no
AT1G10419	WT	hy5	NOTEST	0	0	no
AT1G10430	WT	hy5	NOTEST	5.0518	4.00648	no
AT1G10440	WT	hy5	NOTEST	0	0	no
AT1G10450	WT	hy5	NOTEST	0.261656	1.31599	no
AT1G10455	WT	hy5	NOTEST	0	0	no
