gene	sample_1	sample_2	status	value_1	value_2	significant
AT1G74930	WT	hy5	NOTEST	1.39634	0	no
AT1G74940	WT	hy5	NOTEST	7.23952	2.97987	no
AT1G74950	WT	hy5	NOTEST	3.09995	3.15145	no
AT1G74960	WT	hy5	OK	14.4448	12.5886	no
AT1G74970	WT	hy5	OK	76.2728	33.2101	yes
AT1G74990	WT	hy5	NOTEST	0	0	no
AT1G75000	WT	hy5	NOTEST	5.00203	0	no
AT1G75010	WT	hy5	NOTEST	0.208476	1.6942	no
AT1G75020	WT	hy5	NOTEST	1.48227	0.470664	no
AT1G75030	WT	hy5	NOTEST	2.39266	0.761304	no
AT1G75040	WT	hy5	NOTEST	3.47397	3.32196	no
AT1G75050	WT	hy5	NOTEST	0	0	no
AT1G75060	WT	hy5	NOTEST	0	1.33267	no
AT1G75070	WT	hy5	NOTEST	0	0	no
AT1G75080	WT	hy5	NOTEST	6.8052	7.33172	no
AT1G75090	WT	hy5	NOTEST	1.44424	0.502841	no
AT1G75100	WT	hy5	NOTEST	1.58139	3.15681	no
AT1G75110	WT	hy5	NOTEST	0	1.06555	no
AT1G75120	WT	hy5	NOTEST	0.76213	3.69284	no
AT1G75130	WT	hy5	NOTEST	0.839667	2.9251	no
AT1G75140	WT	hy5	NOTEST	2.28447	0.378557	no
AT1G75150	WT	hy5	NOTEST	0.188328	1.36213	no
AT1G75160	WT	hy5	NOTEST	0	0	no
AT1G75163	WT	hy5	NOTEST	554.258	624.059	no
AT1G75166	WT	hy5	OK	12898.5	6807	no
AT1G75170	WT	hy5	NOTEST	0.47652	1.74994	no
AT1G75180	WT	hy5	NOTEST	3.98183	5.69835	no
AT1G75190	WT	hy5	NOTEST	1.69713	3.78904	no
AT1G75200	WT	hy5	NOTEST	1.97963	1.0357	no
AT1G75210	WT	hy5	NOTEST	1.97662	2.53256	no
AT1G75220	WT	hy5	OK	12.5148	8.13995	no
AT1G75230	WT	hy5	NOTEST	4.74612	1.64897	no
AT1G75240	WT	hy5	OK	14.1354	12.0469	no
AT1G75250	WT	hy5	NOTEST	8.81348	0	no
AT1G75260	WT	hy5	NOTEST	0.333844	0	no
AT1G75261	WT	hy5	NOTEST	0	0	no
AT1G75270	WT	hy5	OK	16.1676	6.14669	no
AT1G75280	WT	hy5	OK	22.7836	31.2711	no
AT1G75290	WT	hy5	NOTEST	0	0	no
AT1G75295	WT	hy5	NOTEST	0	0.756205	no
AT1G75300	WT	hy5	NOTEST	0	2.60055	no
AT1G75310	WT	hy5	NOTEST	0.0891749	2.57432	no
AT1G75330	WT	hy5	OK	29.2485	21.8387	no
AT1G75335	WT	hy5	NOTEST	9.29684	2.69328	no
AT1G75340	WT	hy5	NOTEST	0.693581	0.00538679	no
AT1G75350	WT	hy5	OK	122.422	81.4245	no
AT1G75360	WT	hy5	NOTEST	1.8022	0	no
AT1G75370	WT	hy5	NOTEST	1.85035	4.13883	no
AT1G75380	WT	hy5	OK	26.695	71.4034	yes
AT1G75390	WT	hy5	OK	9.74367	3.5902	no
AT1G75394	WT	hy5	NOTEST	0	0	no
AT1G75400	WT	hy5	NOTEST	1.78777	4.06987	no
AT1G75410	WT	hy5	NOTEST	3.337	1.97168	no
AT1G75420	WT	hy5	NOTEST	0.976283	1.079	no
AT1G75430	WT	hy5	NOTEST	0	0	no
AT1G75440	WT	hy5	NOTEST	7.39708	8.91791	no
AT1G75450	WT	hy5	NOTEST	0.993028	1.14578	no
AT1G75460	WT	hy5	OK	18.2981	23.7081	no
AT1G75470	WT	hy5	NOTEST	0	0	no
AT1G75480	WT	hy5	NOTEST	0	0	no
AT1G75490	WT	hy5	NOTEST	0.47643	0	no
AT1G75500	WT	hy5	OK	87.2255	64.3849	yes
AT1G75510	WT	hy5	NOTEST	5.07381	6.83699	no
AT1G75520	WT	hy5	NOTEST	0	0	no
AT1G75530	WT	hy5	NOTEST	0	0	no
AT1G75540	WT	hy5	OK	27.9765	13.05	yes
AT1G75550	WT	hy5	NOTEST	10.561	5.02126	no
AT1G75560	WT	hy5	OK	10.1808	22.0981	yes
AT1G75570	WT	hy5	NOTEST	0	0	no
AT1G75580	WT	hy5	NOTEST	4.20031	1.0436	no
AT1G75590	WT	hy5	NOTEST	0	4.17022	no
AT1G75600	WT	hy5	NOTEST	0	0	no
AT1G75610	WT	hy5	NOTEST	0	0	no
AT1G75620	WT	hy5	NOTEST	0.295604	0	no
AT1G75630	WT	hy5	OK	135.914	44.3486	yes
AT1G75640	WT	hy5	NOTEST	1.07654	1.081	no
AT1G75650	WT	hy5	NOTEST	0	0	no
AT1G75660	WT	hy5	NOTEST	4.44905	3.72355	no
AT1G75670	WT	hy5	NOTEST	3.30286	1.31259	no
AT1G75680	WT	hy5	OK	13.2542	10.2001	no
AT1G75690	WT	hy5	OK	120.534	102.851	no
AT1G75700	WT	hy5	NOTEST	0	0	no
AT1G75710	WT	hy5	NOTEST	3.03931	3.22737	no
AT1G75717	WT	hy5	NOTEST	0	0	no
AT1G75720	WT	hy5	NOTEST	0	0	no
AT1G75730	WT	hy5	NOTEST	0.245341	0.524769	no
AT1G75740	WT	hy5	NOTEST	0	0	no
AT1G75750	WT	hy5	OK	294.628	78.9291	yes
AT1G75760	WT	hy5	NOTEST	4.05576	4.7793	no
AT1G75770	WT	hy5	NOTEST	0	0.815592	no
AT1G75780	WT	hy5	NOTEST	8.30146	5.17043	no
AT1G75790	WT	hy5	NOTEST	0	0	no
AT1G75800	WT	hy5	NOTEST	10.5292	8.7603	no
AT1G75810	WT	hy5	NOTEST	8.99989	3.73417	no
AT1G75820	WT	hy5	NOTEST	5.98305	6.21972	no
AT1G75830	WT	hy5	NOTEST	0	8.21154	no
AT1G75840	WT	hy5	OK	12.6448	9.70287	no
AT1G75850	WT	hy5	NOTEST	1.0107	5.12818	no
AT1G75860	WT	hy5	NOTEST	0.950291	1.08477	no
AT1G75870	WT	hy5	NOTEST	0	0	no
AT1G75880	WT	hy5	NOTEST	3.7672	1.16712	no
AT1G75890	WT	hy5	NOTEST	0	0	no
AT1G75891	WT	hy5	NOTEST	0	0	no
AT1G75900	WT	hy5	NOTEST	4.35767	1.44309	no
AT1G75910	WT	hy5	NOTEST	0	0	no
AT1G75920	WT	hy5	NOTEST	0	0	no
AT1G75930	WT	hy5	NOTEST	0	0	no
AT1G75940	WT	hy5	NOTEST	0	0	no
AT1G75950	WT	hy5	OK	148.888	56.0039	yes
AT1G75960	WT	hy5	NOTEST	2.48655	1.96073	no
AT1G75970	WT	hy5	NOTEST	0	0	no
AT1G75980	WT	hy5	NOTEST	0.535176	4.22098	no
AT1G75990	WT	hy5	NOTEST	4.56063	1.56247	no
AT1G76000	WT	hy5	NOTEST	0	0	no
AT1G76010	WT	hy5	OK	65.1712	30.1537	yes
AT1G76020	WT	hy5	NOTEST	7.98148	4.51568	no
AT1G76030	WT	hy5	OK	12.7025	13.183	no
AT1G76040	WT	hy5	NOTEST	0.678905	1.65801	no
AT1G76050	WT	hy5	NOTEST	1.46416	1.51502	no
AT1G76060	WT	hy5	NOTEST	6.22849	5.72008	no
AT1G76062	WT	hy5	LOWDATA	0	0	no
AT1G76065	WT	hy5	NOTEST	2.48172	0	no
AT1G76070	WT	hy5	NOTEST	1.62296	2.50548	no
AT1G76080	WT	hy5	OK	63.1163	46.0352	no
AT1G76090	WT	hy5	OK	13.7934	4.09834	no
AT1G76100	WT	hy5	OK	133.903	60.317	yes
AT1G76110	WT	hy5	NOTEST	3.99301	1.57014	no
AT1G76120	WT	hy5	NOTEST	0	1.21335	no
AT1G76130	WT	hy5	NOTEST	1.38527	2.14839	no
AT1G76135	WT	hy5	NOTEST	0	0	no
AT1G76140	WT	hy5	NOTEST	5.31038	9.10192	no
AT1G76150	WT	hy5	NOTEST	3.88123	5.74911	no
AT1G76160	WT	hy5	OK	15.1664	17.7326	no
AT1G76170	WT	hy5	NOTEST	0.510021	0.469988	no
AT1G76180	WT	hy5	OK	68.773	56.6775	no
AT1G76185	WT	hy5	NOTEST	0.733268	0.825613	no
AT1G76190	WT	hy5	NOTEST	0	7.95448	no
AT1G76200	WT	hy5	OK	327.13	204.71	yes
AT1G76210	WT	hy5	NOTEST	0	0	no
AT1G76220	WT	hy5	NOTEST	0	0	no
AT1G76230	WT	hy5	NOTEST	0	0	no
AT1G76240	WT	hy5	NOTEST	4.14377	3.84964	no
AT1G76250	WT	hy5	NOTEST	0.341241	0.384215	no
AT1G76260	WT	hy5	NOTEST	0.716123	3.7853	no
AT1G76270	WT	hy5	NOTEST	0.791161	0.52061	no
AT1G76280	WT	hy5	NOTEST	0.234002	2.37479	no
AT1G76290	WT	hy5	NOTEST	0	0	no
AT1G76300	WT	hy5	OK	12.1335	22.5308	no
AT1G76310	WT	hy5	NOTEST	0.777475	1.46791	no
AT1G76320	WT	hy5	NOTEST	1.7406	1.24132	no
AT1G76330	WT	hy5	NOTEST	0	0	no
AT1G76340	WT	hy5	NOTEST	3.13258	2.52646	no
AT1G76350	WT	hy5	NOTEST	0.616642	0.765401	no
AT1G76360	WT	hy5	NOTEST	3.39652	2.31943	no
AT1G76370	WT	hy5	NOTEST	0	0	no
AT1G76380	WT	hy5	NOTEST	1.06462	3.03451	no
AT1G76390	WT	hy5	NOTEST	1.44728	3.78383	no
AT1G76400	WT	hy5	NOTEST	2.45042	2.9852	no
AT1G76405	WT	hy5	NOTEST	0	2.11371	no
AT1G76410	WT	hy5	NOTEST	3.09389	2.81875	no
AT1G76420	WT	hy5	NOTEST	0	0	no
AT1G76430	WT	hy5	NOTEST	0	0	no
AT1G76440	WT	hy5	NOTEST	0	4.32769	no
AT1G76450	WT	hy5	OK	10.8794	22.1466	no
AT1G76460	WT	hy5	NOTEST	5.40594	3.24695	no
AT1G76470	WT	hy5	NOTEST	0	0	no
AT1G76480	WT	hy5	NOTEST	0	0	no
AT1G76490	WT	hy5	OK	69.2945	35.4102	yes
AT1G76500	WT	hy5	NOTEST	1.59391	0.973916	no
AT1G76510	WT	hy5	NOTEST	0.0119145	0.0148824	no
AT1G76520	WT	hy5	OK	10.6954	9.88401	no
AT1G76530	WT	hy5	NOTEST	0.385615	0	no
AT1G76540	WT	hy5	NOTEST	4.00863	6.93547	no
AT1G76550	WT	hy5	NOTEST	3.37704	1.98649	no
AT1G76560	WT	hy5	NOTEST	4.62751	4.1241	no
AT1G76570	WT	hy5	NOTEST	2.39139	0.630861	no
AT1G76580	WT	hy5	NOTEST	0.115695	0.958835	no
AT1G76590	WT	hy5	NOTEST	0	1.21914	no
AT1G76600	WT	hy5	NOTEST	2.51468	2.1357	no
AT1G76610	WT	hy5	NOTEST	1.32919	0	no
AT1G76620	WT	hy5	NOTEST	0.893967	0.296484	no
AT1G76630	WT	hy5	NOTEST	0.726181	1.94656	no
AT1G76640	WT	hy5	NOTEST	0	0	no
AT1G76650	WT	hy5	NOTEST	1.0035	0	no
AT1G76660	WT	hy5	NOTEST	2.32537	1.87812	no
AT1G76670	WT	hy5	OK	23.8822	19.2514	no
AT1G76680	WT	hy5	OK	39.5469	25.2254	yes
AT1G76690	WT	hy5	NOTEST	3.84199	2.29579	no
AT1G76700	WT	hy5	NOTEST	1.41668	3.09486	no
AT1G76705	WT	hy5	NOTEST	0	1.56813	no
AT1G76710	WT	hy5	NOTEST	0.308344	3.10884	no
AT1G76720	WT	hy5	NOTEST	0	0	no
AT1G76728	WT	hy5	NOTEST	0	0	no
AT1G76730	WT	hy5	NOTEST	4.05304	7.01498	no
AT1G76740	WT	hy5	NOTEST	0	0	no
AT1G76750	WT	hy5	NOTEST	0	0	no
AT1G76760	WT	hy5	NOTEST	2.60271	1.72308	no
AT1G76770	WT	hy5	NOTEST	0	0	no
AT1G76780	WT	hy5	NOTEST	0	0	no
AT1G76790	WT	hy5	OK	19.015	6.84998	no
AT1G76800	WT	hy5	NOTEST	2.94306	2.70634	no
AT1G76810	WT	hy5	NOTEST	1.72623	9.62287	no
AT1G76820	WT	hy5	NOTEST	0	0.639451	no
AT1G76830	WT	hy5	NOTEST	0	0	no
AT1G76840	WT	hy5	NOTEST	0	0	no
AT1G76850	WT	hy5	NOTEST	4.04297	11.0053	no
AT1G76860	WT	hy5	OK	42.7132	23.5085	no
AT1G76870	WT	hy5	NOTEST	0.709652	1.29138	no
AT1G76878	WT	hy5	OK	6.40943	20.3371	yes
AT1G76880	WT	hy5	NOTEST	1.54278	2.22874	no
AT1G76890	WT	hy5	NOTEST	2.558	3.01701	no
AT1G76892	WT	hy5	NOTEST	6.20001	8.22602	no
AT1G76900	WT	hy5	NOTEST	3.09044	6.8379	no
AT1G76910	WT	hy5	NOTEST	0	0	no
AT1G76911	WT	hy5	NOTEST	0	2.05398	no
AT1G76920	WT	hy5	NOTEST	7.9622	5.53584	no
AT1G76930	WT	hy5	OK	141.716	99.149	no
AT1G76940	WT	hy5	NOTEST	6.14054	4.68994	no
AT1G76950	WT	hy5	NOTEST	0.682068	0.840966	no
AT1G76952	WT	hy5	NOTEST	0	0	no
AT1G76954	WT	hy5	NOTEST	0	0	no
AT1G76955	WT	hy5	NOTEST	0	0	no
AT1G76960	WT	hy5	OK	11.8035	41.0588	no
AT1G76965	WT	hy5	NOTEST	0	0	no
AT1G76970	WT	hy5	NOTEST	0.670331	3.3901	no
AT1G76980	WT	hy5	NOTEST	1.71126	0.945747	no
AT1G76990	WT	hy5	OK	7.97072	13.6938	no
AT1G76994	WT	hy5	NOTEST	0	0	no
AT1G77000	WT	hy5	NOTEST	1.78584	3.36705	no
AT1G77010	WT	hy5	NOTEST	0	0	no
AT1G77020	WT	hy5	NOTEST	0.363314	1.04189	no
AT1G77030	WT	hy5	NOTEST	1.69427	2.6251	no
AT1G77040	WT	hy5	NOTEST	0	0	no
AT1G77060	WT	hy5	NOTEST	2.67438	6.41646	no
AT1G77080	WT	hy5	NOTEST	10.5533	5.76327	no
AT1G77090	WT	hy5	NOTEST	3.44997	11.0323	no
AT1G77093	WT	hy5	NOTEST	0	0	no
AT1G77095	WT	hy5	NOTEST	0	0	no
AT1G77100	WT	hy5	NOTEST	0	0	no
AT1G77110	WT	hy5	NOTEST	0.525631	0.59446	no
AT1G77120	WT	hy5	NOTEST	11.1175	1.52322	no
AT1G77122	WT	hy5	NOTEST	8.97927	10.6426	no
AT1G77130	WT	hy5	NOTEST	2.00239	4.82008	no
AT1G77131	WT	hy5	NOTEST	0	0.747852	no
AT1G77138	WT	hy5	NOTEST	0	0	no
AT1G77140	WT	hy5	NOTEST	1.27519	0.971534	no
AT1G77145	WT	hy5	NOTEST	2.38637	3.09264	no
AT1G77150	WT	hy5	NOTEST	0	0	no
AT1G77160	WT	hy5	NOTEST	0	0	no
AT1G77170	WT	hy5	NOTEST	1.6208	1.48829	no
AT1G77180	WT	hy5	OK	7.80678	9.30222	no
AT1G77190	WT	hy5	NOTEST	0	0	no
AT1G77200	WT	hy5	NOTEST	0.897259	0	no
AT1G77210	WT	hy5	NOTEST	2.93687	2.4818	no
AT1G77220	WT	hy5	NOTEST	0.524044	2.24845	no
AT1G77230	WT	hy5	NOTEST	0.404928	0.227961	no
AT1G77235	WT	hy5	NOTEST	0	0	no
AT1G77240	WT	hy5	NOTEST	0.5513	0.329971	no
AT1G77250	WT	hy5	NOTEST	0	0.637481	no
AT1G77260	WT	hy5	NOTEST	2.68461	4.24657	no
AT1G77270	WT	hy5	NOTEST	0.379165	0.981686	no
AT1G77280	WT	hy5	NOTEST	0.682428	0.834735	no
AT1G77290	WT	hy5	NOTEST	0	1.39064	no
AT1G77300	WT	hy5	NOTEST	0.330831	1.5392	no
AT1G77310	WT	hy5	NOTEST	0.209666	0	no
AT1G77320	WT	hy5	NOTEST	0.285981	0.558201	no
AT1G77330	WT	hy5	NOTEST	9.91692	4.57661	no
AT1G77340	WT	hy5	NOTEST	0	0	no
AT1G77350	WT	hy5	OK	23.1552	11.0782	no
AT1G77360	WT	hy5	NOTEST	0	0.397865	no
AT1G77370	WT	hy5	NOTEST	14.9387	15.9289	no
AT1G77380	WT	hy5	NOTEST	0	1.10119	no
AT1G77390	WT	hy5	NOTEST	0	0.42191	no
AT1G77400	WT	hy5	NOTEST	2.5792	1.49972	no
AT1G77405	WT	hy5	NOTEST	0	0	no
AT1G77410	WT	hy5	NOTEST	0	0	no
AT1G77420	WT	hy5	NOTEST	0	3.01884	no
AT1G77440	WT	hy5	NOTEST	10.337	8.8114	no
AT1G77450	WT	hy5	NOTEST	3.40142	0.588072	no
AT1G77460	WT	hy5	NOTEST	0.508721	1.16778	no
AT1G77470	WT	hy5	NOTEST	1.50954	5.0753	no
AT1G77480	WT	hy5	NOTEST	2.21103	1.06426	no
AT1G77490	WT	hy5	OK	15.69	12.5399	no
AT1G77500	WT	hy5	NOTEST	0.788695	0.785174	no
AT1G77510	WT	hy5	NOTEST	7.89398	9.5448	no
AT1G77520	WT	hy5	NOTEST	0.893165	0	no
AT1G77525	WT	hy5	NOTEST	0	0	no
AT1G77530	WT	hy5	NOTEST	1.0116	0	no
AT1G77540	WT	hy5	OK	46.5396	33.6457	no
AT1G77550	WT	hy5	NOTEST	1.04932	4.42785	no
AT1G77560	WT	hy5	NOTEST	0	0	no
AT1G77570	WT	hy5	NOTEST	1.05837	0	no
AT1G77580	WT	hy5	NOTEST	0.311223	3.00931	no
AT1G77590	WT	hy5	NOTEST	2.72938	5.85507	no
AT1G77600	WT	hy5	NOTEST	0.241446	0.614521	no
AT1G77610	WT	hy5	NOTEST	13.3019	2.14032	no
AT1G77620	WT	hy5	NOTEST	0.246777	1.5194	no
AT1G77630	WT	hy5	NOTEST	2.1604	0	no
AT1G77640	WT	hy5	NOTEST	0	0.730276	no
AT1G77650	WT	hy5	NOTEST	0	0	no
AT1G77655	WT	hy5	NOTEST	0	0	no
AT1G77660	WT	hy5	NOTEST	1.69766	3.0335	no
AT1G77670	WT	hy5	NOTEST	8.09381	5.58934	no
AT1G77680	WT	hy5	NOTEST	3.06341	4.14784	no
AT1G77682	WT	hy5	NOTEST	0	0	no
AT1G77690	WT	hy5	NOTEST	9.2016	5.43839	no
AT1G77700	WT	hy5	NOTEST	0.549972	0	no
AT1G77710	WT	hy5	OK	94.8218	58.8019	no
AT1G77720	WT	hy5	NOTEST	0.556874	1.98988	no
AT1G77730	WT	hy5	NOTEST	0	0	no
AT1G77740	WT	hy5	NOTEST	2.04365	3.85603	no
AT1G77746	WT	hy5	NOTEST	0	0	no
AT1G77750	WT	hy5	NOTEST	8.6263	6.0581	no
AT1G77760	WT	hy5	OK	50.8815	45.7685	no
AT1G77765	WT	hy5	NOTEST	0	0	no
AT1G77770	WT	hy5	NOTEST	5.78198	0	no
AT1G77780	WT	hy5	NOTEST	0	0	no
AT1G77790	WT	hy5	NOTEST	0	0	no
AT1G77800	WT	hy5	NOTEST	0.773228	3.17379	no
AT1G77810	WT	hy5	NOTEST	0	3.07752	no
AT1G77815	WT	hy5	NOTEST	0	0	no
AT1G77820	WT	hy5	NOTEST	0	0	no
AT1G77830	WT	hy5	NOTEST	0	0	no
AT1G77840	WT	hy5	NOTEST	7.5051	13.9064	no
AT1G77850	WT	hy5	NOTEST	2.77478	1.9935	no
AT1G77855	WT	hy5	NOTEST	0.298872	0.72922	no
AT1G77860	WT	hy5	NOTEST	0	0	no
AT1G77870	WT	hy5	NOTEST	0	2.1066	no
AT1G77880	WT	hy5	NOTEST	4.13306	0	no
AT1G77885	WT	hy5	NOTEST	2.48156	2.29828	no
AT1G77890	WT	hy5	NOTEST	0	1.92347	no
AT1G77910	WT	hy5	LOWDATA	0	0	no
AT1G77920	WT	hy5	NOTEST	1.72666	1.97229	no
AT1G77930	WT	hy5	NOTEST	4.03019	7.31545	no
AT1G77932	WT	hy5	NOTEST	0	0	no
AT1G77940	WT	hy5	OK	131.954	53.8935	yes
AT1G77950	WT	hy5	NOTEST	0	0	no
AT1G77960	WT	hy5	NOTEST	0	0	no
AT1G77980	WT	hy5	NOTEST	0	0	no
AT1G77990	WT	hy5	NOTEST	0.517215	0.781264	no
AT1G77992	WT	hy5	NOTEST	2.36875	5.07596	no
AT1G78000	WT	hy5	NOTEST	5.42236	9.21434	no
AT1G78010	WT	hy5	NOTEST	1.13377	1.97913	no
AT1G78020	WT	hy5	OK	78.0957	26.9232	yes
AT1G78030	WT	hy5	NOTEST	0	2.2401	no
AT1G78040	WT	hy5	OK	338.412	161.747	yes
AT1G78050	WT	hy5	NOTEST	0.459003	3.46728	no
AT1G78060	WT	hy5	NOTEST	5.45754	5.43813	no
AT1G78070	WT	hy5	NOTEST	1.21314	3.29673	no
AT1G78080	WT	hy5	OK	14.4787	15.2735	no
AT1G78090	WT	hy5	NOTEST	1.3254	3.04447	no
AT1G78095	WT	hy5	NOTEST	0	0	no
AT1G78100	WT	hy5	OK	18.1653	8.21446	no
AT1G78110	WT	hy5	NOTEST	0.731638	4.39912	no
AT1G78120	WT	hy5	NOTEST	0.69145	0.866865	no
AT1G78130	WT	hy5	NOTEST	0	2.27194	no
AT1G78140	WT	hy5	NOTEST	7.37222	8.90086	no
AT1G78150	WT	hy5	OK	18.9064	14.3482	no
AT1G78160	WT	hy5	NOTEST	0	0	no
AT1G78170	WT	hy5	NOTEST	9.66555	7.55235	no
AT1G78172	WT	hy5	NOTEST	0	0	no
AT1G78180	WT	hy5	NOTEST	3.69773	6.22925	no
AT1G78190	WT	hy5	NOTEST	2.65079	3.99574	no
AT1G78200	WT	hy5	NOTEST	0	5.23393	no
AT1G78206	WT	hy5	NOTEST	0	0	no
AT1G78210	WT	hy5	NOTEST	6.56659	4.02554	no
AT1G78220	WT	hy5	NOTEST	0	0	no
AT1G78230	WT	hy5	NOTEST	2.4373	2.09848	no
AT1G78240	WT	hy5	NOTEST	2.17022	4.34117	no
AT1G78250	WT	hy5	NOTEST	0	0	no
AT1G78260	WT	hy5	NOTEST	3.70346	2.7032	no
AT1G78265	WT	hy5	NOTEST	9.07089	4.48611	no
AT1G78270	WT	hy5	NOTEST	0.630425	0.602707	no
AT1G78280	WT	hy5	NOTEST	1.43561	1.42456	no
AT1G78290	WT	hy5	NOTEST	0.934409	4.20436	no
AT1G78300	WT	hy5	OK	54.1655	35.762	yes
AT1G78310	WT	hy5	NOTEST	3.97453	2.44182	no
AT1G78320	WT	hy5	NOTEST	2.07616	0	no
AT1G78330	WT	hy5	NOTEST	0	0	no
AT1G78340	WT	hy5	NOTEST	1.97432	2.62583	no
AT1G78350	WT	hy5	NOTEST	0	0	no
AT1G78355	WT	hy5	NOTEST	0	0	no
AT1G78360	WT	hy5	NOTEST	0	0	no
AT1G78370	WT	hy5	OK	121.895	75.5022	yes
AT1G78380	WT	hy5	OK	453.78	172.124	yes
AT1G78390	WT	hy5	NOTEST	0	0	no
AT1G78400	WT	hy5	NOTEST	0	0	no
AT1G78410	WT	hy5	NOTEST	0	0	no
AT1G78420	WT	hy5	NOTEST	6.05814	5.59445	no
AT1G78430	WT	hy5	NOTEST	1.09152	0.884225	no
AT1G78440	WT	hy5	NOTEST	0	0	no
AT1G78450	WT	hy5	NOTEST	1.59799	0.874713	no
AT1G78460	WT	hy5	OK	13.2079	15.3963	no
AT1G78470	WT	hy5	NOTEST	0	0	no
AT1G78476	WT	hy5	NOTEST	0	0	no
AT1G78478	WT	hy5	NOTEST	0	0	no
AT1G78480	WT	hy5	NOTEST	0	0	no
AT1G78490	WT	hy5	NOTEST	0.999985	2.30121	no
AT1G78500	WT	hy5	NOTEST	0	0	no
AT1G78510	WT	hy5	NOTEST	6.59099	9.50137	no
AT1G78520	WT	hy5	NOTEST	7.44919	0	no
AT1G78530	WT	hy5	NOTEST	0.442844	2.6227	no
AT1G78540	WT	hy5	NOTEST	0	0	no
AT1G78550	WT	hy5	NOTEST	0.434383	1.16006	no
AT1G78560	WT	hy5	NOTEST	8.06319	5.86923	no
AT1G78570	WT	hy5	OK	12.1889	15.1172	no
AT1G78580	WT	hy5	NOTEST	0.913237	1.39011	no
AT1G78590	WT	hy5	NOTEST	0.889765	2.76797	no
AT1G78600	WT	hy5	NOTEST	3.1919	2.6805	no
AT1G78610	WT	hy5	NOTEST	3.30417	4.95628	no
AT1G78620	WT	hy5	NOTEST	7.63011	5.12753	no
AT1G78630	WT	hy5	OK	72.501	65.4821	no
AT1G78640	WT	hy5	NOTEST	0	0	no
AT1G78650	WT	hy5	LOWDATA	0.564767	3.01832	no
AT1G78660	WT	hy5	OK	10.5255	10.3742	no
AT1G78670	WT	hy5	NOTEST	5.43489	9.99106	no
AT1G78680	WT	hy5	OK	12.4683	10.5964	no
AT1G78690	WT	hy5	NOTEST	3.50396	0.559896	no
AT1G78700	WT	hy5	NOTEST	4.48198	2.28621	no
AT1G78710	WT	hy5	NOTEST	0	0	no
AT1G78720	WT	hy5	NOTEST	0	0	no
AT1G78730	WT	hy5	NOTEST	0	1.0648	no
AT1G78740	WT	hy5	NOTEST	0	0	no
AT1G78750	WT	hy5	NOTEST	0	0	no
AT1G78760	WT	hy5	NOTEST	0	0	no
AT1G78770	WT	hy5	NOTEST	1.47442	1.11831	no
AT1G78780	WT	hy5	NOTEST	0	0	no
AT1G78790	WT	hy5	NOTEST	1.35679	6.47396	no
AT1G78800	WT	hy5	NOTEST	1.75557	3.68774	no
AT1G78810	WT	hy5	NOTEST	1.33387	1.82868	no
AT1G78815	WT	hy5	NOTEST	0	0	no
AT1G78820	WT	hy5	NOTEST	9.85492	4.2034	no
AT1G78830	WT	hy5	OK	44.7117	21.275	yes
AT1G78840	WT	hy5	NOTEST	0	0	no
AT1G78850	WT	hy5	OK	76.7896	32.8918	yes
AT1G78860	WT	hy5	NOTEST	0.422842	0	no
AT1G78865	WT	hy5	NOTEST	1.2256	0	no
AT1G78870	WT	hy5	OK	12.4783	12.103	no
AT1G78882	WT	hy5	NOTEST	3.71284	3.65478	no
AT1G78890	WT	hy5	OK	13.211	20.9714	no
AT1G78895	WT	hy5	NOTEST	16.9246	11.8958	no
AT1G78900	WT	hy5	OK	59.6776	65.5547	no
AT1G78910	WT	hy5	NOTEST	0	0.30732	no
AT1G78915	WT	hy5	NOTEST	1.97378	3.87865	no
AT1G78920	WT	hy5	NOTEST	8.16735	11.535	no
AT1G78922	WT	hy5	NOTEST	0.723271	1.74674	no
AT1G78930	WT	hy5	NOTEST	0.745543	0	no
AT1G78940	WT	hy5	NOTEST	0	0.313581	no
AT1G78950	WT	hy5	NOTEST	0.358174	0	no
AT1G78955	WT	hy5	NOTEST	0	0	no
AT1G78960	WT	hy5	NOTEST	0	0.452659	no
AT1G78970	WT	hy5	NOTEST	2.46986	4.97893	no
AT1G78980	WT	hy5	NOTEST	0	0	no
AT1G78990	WT	hy5	NOTEST	3.83431	1.31347	no
AT1G78995	WT	hy5	NOTEST	3.45892	8.23211	no
AT1G79000	WT	hy5	NOTEST	0.852389	2.49139	no
AT1G79010	WT	hy5	OK	59.6647	48.5805	no
AT1G79020	WT	hy5	NOTEST	0.665524	1.43813	no
AT1G79030	WT	hy5	NOTEST	1.80329	1.99682	no
AT1G79040	WT	hy5	OK	6889.75	2149.31	yes
AT1G79050	WT	hy5	NOTEST	9.29741	6.28018	no
AT1G79060	WT	hy5	NOTEST	2.07367	1.47687	no
AT1G79070	WT	hy5	NOTEST	1.10967	0.942917	no
AT1G79075	WT	hy5	OK	3370.23	650.967	yes
AT1G79080	WT	hy5	NOTEST	2.72592	3.93858	no
AT1G79090	WT	hy5	NOTEST	6.17567	5.54487	no
AT1G79100	WT	hy5	NOTEST	0	0	no
AT1G79110	WT	hy5	OK	8.97946	21.5201	yes
AT1G79120	WT	hy5	NOTEST	0.239181	0	no
AT1G79130	WT	hy5	NOTEST	0	0	no
AT1G79150	WT	hy5	NOTEST	0.376953	1.22971	no
AT1G79160	WT	hy5	NOTEST	12.0156	4.3505	no
